,date,open,close,high,low,volume,code
0,2017-01-03,12.184,12.251,12.356,12.153,162371.0,600000
1,2017-01-04,12.244,12.274,12.289,12.161,296587.0,600000
2,2017-01-05,12.251,12.251,12.311,12.206,264376.0,600000
3,2017-01-06,12.251,12.161,12.251,12.123,171955.0,600000
4,2017-01-09,12.206,12.176,12.244,12.123,149087.0,600000
5,2017-01-10,12.161,12.168,12.206,12.131,79967.0,600000
6,2017-01-11,12.206,12.146,12.206,12.138,91933.0,600000
7,2017-01-12,12.161,12.116,12.176,12.108,82961.0,600000
8,2017-01-13,12.101,12.229,12.244,12.101,190341.0,600000
9,2017-01-16,12.199,12.447,12.477,12.101,533047.0,600000
10,2017-01-17,12.371,12.326,12.432,12.304,125552.0,600000
11,2017-01-18,12.341,12.386,12.439,12.296,114786.0,600000
12,2017-01-19,12.349,12.432,12.507,12.349,121806.0,600000
13,2017-01-20,12.462,12.477,12.522,12.401,142882.0,600000
14,2017-01-23,12.522,12.454,12.544,12.409,146165.0,600000
15,2017-01-24,12.462,12.544,12.552,12.462,149852.0,600000
16,2017-01-25,12.544,12.544,12.582,12.484,112848.0,600000
17,2017-01-26,12.544,12.582,12.657,12.484,86029.0,600000
18,2017-02-03,12.642,12.499,12.665,12.492,81742.0,600000
19,2017-02-06,12.589,12.522,12.612,12.522,134558.0,600000
20,2017-02-07,12.514,12.529,12.582,12.499,147592.0,600000
21,2017-02-08,12.499,12.529,12.544,12.432,112388.0,600000
22,2017-02-09,12.537,12.567,12.604,12.469,113930.0,600000
23,2017-02-10,12.597,12.612,12.657,12.552,139852.0,600000
24,2017-02-13,12.687,12.665,12.702,12.612,199928.0,600000
25,2017-02-14,12.68,12.589,12.687,12.582,129872.0,600000
26,2017-02-15,12.642,12.657,12.725,12.589,256880.0,600000
27,2017-02-16,12.687,12.612,12.71,12.597,163278.0,600000
28,2017-02-17,12.612,12.507,12.642,12.469,138636.0,600000
29,2017-02-20,12.492,12.71,12.762,12.492,299499.0,600000
30,2017-02-21,12.687,12.687,12.837,12.634,175091.0,600000
31,2017-02-22,12.687,12.589,12.702,12.574,170322.0,600000
32,2017-02-23,12.612,12.544,12.649,12.507,150111.0,600000
33,2017-02-24,12.529,12.559,12.589,12.522,115949.0,600000
34,2017-02-27,12.544,12.469,12.567,12.424,137322.0,600000
35,2017-02-28,12.462,12.469,12.529,12.424,120979.0,600000
36,2017-03-01,12.462,12.447,12.492,12.417,162269.0,600000
37,2017-03-02,12.492,12.334,12.492,12.319,189966.0,600000
38,2017-03-03,12.341,12.289,12.349,12.266,124294.0,600000
39,2017-03-06,12.304,12.334,12.424,12.289,157037.0,600000
40,2017-03-07,12.311,12.349,12.364,12.304,93198.0,600000
41,2017-03-08,12.326,12.319,12.356,12.289,101096.0,600000
42,2017-03-09,12.304,12.191,12.326,12.191,173660.0,600000
43,2017-03-10,12.199,12.199,12.236,12.153,163963.0,600000
44,2017-03-13,12.199,12.281,12.281,12.146,179501.0,600000
45,2017-03-14,12.281,12.221,12.289,12.206,169889.0,600000
46,2017-03-15,12.206,12.206,12.236,12.153,189003.0,600000
47,2017-03-16,12.229,12.244,12.289,12.214,190365.0,600000
48,2017-03-17,12.251,12.176,12.266,12.131,215603.0,600000
49,2017-03-20,12.206,12.131,12.214,12.123,150178.0,600000
50,2017-03-21,12.138,12.026,12.146,12.011,311246.0,600000
51,2017-03-22,12.011,11.86,12.011,11.8,438114.0,600000
52,2017-03-23,11.875,11.935,11.966,11.868,222256.0,600000
53,2017-03-24,11.913,11.996,12.026,11.898,199020.0,600000
54,2017-03-27,12.003,12.056,12.123,11.951,189973.0,600000
55,2017-03-28,12.108,12.033,12.123,12.003,132129.0,600000
56,2017-03-29,12.033,11.928,12.108,11.875,234467.0,600000
57,2017-03-30,11.935,11.883,11.951,11.815,236451.0,600000
58,2017-03-31,11.86,12.033,12.063,11.853,241871.0,600000
59,2017-04-05,12.063,12.146,12.176,11.943,310362.0,600000
60,2017-04-06,12.093,12.101,12.161,12.048,223354.0,600000
61,2017-04-07,12.071,12.101,12.146,12.041,201269.0,600000
62,2017-04-10,12.116,12.003,12.116,11.981,161540.0,600000
63,2017-04-11,12.003,11.943,12.018,11.883,186113.0,600000
64,2017-04-12,11.935,11.943,11.996,11.838,222105.0,600000
65,2017-04-13,11.935,11.838,11.943,11.823,234266.0,600000
66,2017-04-14,11.845,11.657,11.86,11.59,401565.0,600000
67,2017-04-17,11.672,11.695,11.725,11.5,367394.0,600000
68,2017-04-18,11.65,11.5,11.665,11.5,228899.0,600000
69,2017-04-19,11.462,11.357,11.477,11.357,244554.0,600000
70,2017-04-20,11.364,11.206,11.379,11.199,410614.0,600000
71,2017-04-21,11.214,11.312,11.327,11.161,226883.0,600000
72,2017-04-24,11.312,11.274,11.357,11.206,176278.0,600000
73,2017-04-25,11.289,11.312,11.349,11.267,129759.0,600000
74,2017-04-26,11.319,11.312,11.357,11.274,149398.0,600000
75,2017-04-27,11.312,11.432,11.462,11.297,228876.0,600000
76,2017-04-28,11.387,11.432,11.439,11.334,157185.0,600000
77,2017-05-02,11.432,11.394,11.439,11.372,126075.0,600000
78,2017-05-03,11.394,11.334,11.394,11.312,142479.0,600000
79,2017-05-04,11.327,11.259,11.327,11.199,194777.0,600000
80,2017-05-05,11.236,11.214,11.259,10.913,401945.0,600000
81,2017-05-08,11.109,11.169,11.199,10.906,435685.0,600000
82,2017-05-09,11.041,11.094,11.154,11.019,192254.0,600000
83,2017-05-10,11.094,10.981,11.161,10.936,283594.0,600000
84,2017-05-11,10.951,11.086,11.116,10.936,273129.0,600000
85,2017-05-12,11.086,11.432,11.447,11.071,457334.0,600000
86,2017-05-15,11.477,11.477,11.597,11.394,299658.0,600000
87,2017-05-16,11.447,11.477,11.492,11.334,248753.0,600000
88,2017-05-17,11.454,11.432,11.469,11.327,334344.0,600000
89,2017-05-18,11.349,11.282,11.379,11.236,306579.0,600000
90,2017-05-19,11.304,11.289,11.334,11.206,286106.0,600000
91,2017-05-22,11.289,11.304,11.319,11.221,302272.0,600000
92,2017-05-23,11.274,11.597,11.702,11.259,754004.0,600000
93,2017-05-24,11.56,11.627,11.665,11.432,704390.0,600000
94,2017-05-25,11.628,12.796,12.796,11.598,2223734.0,600000
95,2017-05-26,12.677,12.707,12.776,12.41,1764566.0,600000
96,2017-05-31,12.617,12.707,12.914,12.528,1130098.0,600000
97,2017-06-01,12.647,12.786,12.835,12.558,962170.0,600000
98,2017-06-02,12.796,12.756,12.875,12.608,801977.0,600000
99,2017-06-05,12.657,12.716,12.746,12.38,758764.0,600000
100,2017-06-06,12.667,12.667,12.707,12.528,361044.0,600000
101,2017-06-07,12.677,12.707,12.855,12.647,643951.0,600000
102,2017-06-08,12.627,12.707,12.726,12.538,481948.0,600000
103,2017-06-09,12.657,12.796,13.063,12.637,1144343.0,600000
104,2017-06-12,12.766,12.647,13.003,12.627,739311.0,600000
105,2017-06-13,12.647,12.459,12.647,12.429,527160.0,600000
106,2017-06-14,12.469,12.33,12.509,12.182,553069.0,600000
107,2017-06-15,12.281,12.251,12.33,12.152,374928.0,600000
108,2017-06-16,12.251,12.222,12.33,12.142,473510.0,600000
109,2017-06-19,12.232,12.271,12.301,12.172,329412.0,600000
110,2017-06-20,12.281,12.162,12.311,12.093,446451.0,600000
111,2017-06-21,12.271,12.212,12.271,12.133,340000.0,600000
112,2017-06-22,12.202,12.439,12.707,12.162,1102594.0,600000
113,2017-06-23,12.42,12.509,12.518,12.232,685790.0,600000
114,2017-06-26,12.509,12.509,12.687,12.42,605091.0,600000
115,2017-06-27,12.509,12.568,12.598,12.4,466874.0,600000
116,2017-06-28,12.528,12.657,12.776,12.469,753495.0,600000
117,2017-06-29,12.677,12.627,12.726,12.568,389945.0,600000
118,2017-06-30,12.568,12.518,12.598,12.459,365664.0,600000
119,2017-07-03,12.509,12.429,12.518,12.34,387789.0,600000
120,2017-07-04,12.42,12.42,12.449,12.281,366591.0,600000
121,2017-07-05,12.37,12.489,12.518,12.34,264705.0,600000
122,2017-07-06,12.489,12.528,12.588,12.38,374142.0,600000
123,2017-07-07,12.489,12.469,12.558,12.42,246672.0,600000
124,2017-07-10,12.459,12.4,12.509,12.39,264115.0,600000
125,2017-07-11,12.38,12.667,12.805,12.38,968353.0,600000
126,2017-07-12,12.667,12.726,12.924,12.608,804690.0,600000
127,2017-07-13,12.687,13.132,13.152,12.637,1102192.0,600000
128,2017-07-14,13.201,13.449,13.657,13.201,1468653.0,600000
129,2017-07-17,13.478,13.617,13.874,13.142,1786612.0,600000
130,2017-07-18,13.508,13.409,13.577,13.261,698958.0,600000
131,2017-07-19,13.419,13.548,13.637,13.34,661087.0,600000
132,2017-07-20,13.528,13.478,13.558,13.389,400174.0,600000
133,2017-07-21,13.469,13.31,13.488,13.241,522723.0,600000
134,2017-07-24,13.31,13.528,13.597,13.221,658209.0,600000
135,2017-07-25,13.478,13.37,13.607,13.271,584780.0,600000
136,2017-07-26,13.31,13.241,13.558,13.221,574953.0,600000
137,2017-07-27,13.241,13.241,13.33,13.142,336120.0,600000
138,2017-07-28,13.231,13.33,13.35,13.162,249549.0,600000
139,2017-07-31,13.31,13.221,13.379,13.172,450830.0,600000
140,2017-08-01,13.28,13.29,13.35,13.182,641980.0,600000
141,2017-08-02,13.3,13.3,13.459,13.251,616441.0,600000
142,2017-08-03,13.28,12.944,13.28,12.904,785818.0,600000
143,2017-08-04,12.954,12.736,12.964,12.716,631819.0,600000
